# seed = 20260717
# generator_version = 0.1.0
NAME : medium_realistic
CUSTOMERS : 50
DEPOTS : 5
VEHICLE_CAPACITY : 25
ROUTE_FIXED_COST : 30
DISTANCE_FORMAT : COORDS

DEPOT_SECTION
# depot_id x y opening_cost capacity max_vehicles
1 5.0 5.0 260 84 5
2 95.0 10.0 300 64 4
3 50.0 50.0 340 78 5
4 10.0 90.0 250 56 4
5 85.0 85.0 310 71 4

CUSTOMER_SECTION
# customer_id x y demand
101 17.4 28.5 4
102 21.3 34.2 7
103 6.2 31.3 2
104 30.1 26.7 6
105 18.1 33.3 8
106 22.1 39.8 2
107 13.6 25.9 4
108 23.5 21.5 2
109 23.3 31.2 6
110 27.1 23.7 5
111 72.9 33.8 3
112 76.6 31.3 8
113 80.8 26.5 7
114 100.0 30.4 1
115 78.3 30.5 7
116 74.7 38.1 5
117 80.1 39.6 6
118 78.9 33.9 3
119 77.9 41.1 9
120 93.3 39.0 8
121 46.7 86.4 1
122 50.3 82.0 8
123 50.7 84.4 9
124 48.1 85.7 9
125 38.8 82.2 9
126 41.8 71.7 10
127 55.9 78.2 2
128 46.5 73.5 10
129 46.6 81.7 7
130 45.5 72.9 6
131 79.4 41.6 2
132 81.4 29.5 7
133 26.9 83.0 8
134 21.5 81.0 2
135 13.8 1.1 7
136 49.1 9.7 5
137 6.1 63.5 2
138 63.7 71.0 10
139 85.5 6.7 2
140 68.8 65.9 6
141 75.7 26.3 7
142 1.2 80.1 3
143 18.1 93.0 2
144 81.8 90.2 1
145 48.8 26.0 5
146 70.0 8.2 1
147 54.3 73.7 1
148 45.3 33.1 3
149 36.4 95.5 7
150 82.3 67.7 6
EOF
