# seed = 20260720
# generator_version = 0.1.0
NAME : fixopt_demo
CUSTOMERS : 150
DEPOTS : 10
VEHICLE_CAPACITY : 30
ROUTE_FIXED_COST : 35
DISTANCE_FORMAT : COORDS

DEPOT_SECTION
# depot_id x y opening_cost capacity max_vehicles
1 29.7 145.3 218 141 6
2 27.6 16.6 314 148 6
3 33.0 22.1 277 94 5
4 138.2 106.3 436 86 4
5 142.0 125.2 373 72 4
6 53.8 70.9 239 59 3
7 69.9 133.0 283 144 6
8 17.6 104.5 453 98 5
9 134.1 72.9 266 129 6
10 55.5 100.3 372 84 4

CUSTOMER_SECTION
# customer_id x y demand
101 26.3 150.0 1
102 13.6 150.0 3
103 20.4 150.0 1
104 32.1 149.8 7
105 41.8 143.5 8
106 11.1 139.2 1
107 8.3 150.0 9
108 18.3 150.0 3
109 26.7 150.0 10
110 23.0 131.9 6
111 21.7 150.0 6
112 10.8 123.8 10
113 22.7 150.0 3
114 20.9 128.4 7
115 13.0 150.0 7
116 28.9 137.3 8
117 18.1 139.5 7
118 20.7 150.0 2
119 43.7 50.6 7
120 31.2 46.3 5
121 43.7 34.3 9
122 36.5 32.7 4
123 48.1 63.4 2
124 44.2 38.6 3
125 59.3 33.9 6
126 40.2 39.1 5
127 56.0 33.6 7
128 43.1 46.2 3
129 61.8 48.9 2
130 37.6 41.1 6
131 55.8 43.8 10
132 40.0 31.4 7
133 51.1 39.4 6
134 55.0 27.5 1
135 50.4 37.2 1
136 34.1 45.0 3
137 118.3 85.9 1
138 101.1 87.1 9
139 116.0 92.9 9
140 113.9 81.2 6
141 120.9 86.0 5
142 94.7 97.9 3
143 103.4 111.5 8
144 131.1 84.6 9
145 107.9 87.8 6
146 106.6 88.7 10
147 110.5 91.7 7
148 113.0 77.9 4
149 105.9 97.2 3
150 95.5 102.1 3
151 122.9 100.3 6
152 111.7 88.3 8
153 110.5 89.8 10
154 116.6 70.9 9
155 17.3 73.0 6
156 17.2 72.6 1
157 9.3 51.3 8
158 13.1 77.0 4
159 13.7 86.7 5
160 32.6 60.1 1
161 22.6 59.7 2
162 0.0 72.0 3
163 12.1 70.7 2
164 0.0 61.3 4
165 5.7 83.3 3
166 6.0 71.3 4
167 21.3 73.3 10
168 16.0 67.0 9
169 14.9 66.0 10
170 3.3 67.9 9
171 5.9 78.7 8
172 18.9 72.9 7
173 37.1 28.2 6
174 32.3 6.9 8
175 45.2 6.2 8
176 12.4 5.2 5
177 37.1 10.1 7
178 35.6 6.2 5
179 18.2 20.6 3
180 28.2 0.0 8
181 27.0 0.0 1
182 28.6 26.0 2
183 44.6 10.0 2
184 33.7 11.6 2
185 18.2 28.8 1
186 27.6 18.4 1
187 31.1 12.2 2
188 16.5 19.2 4
189 24.4 16.3 7
190 39.4 25.3 7
191 42.5 66.8 3
192 41.9 70.2 3
193 119.8 115.6 9
194 74.0 92.0 3
195 136.9 44.4 3
196 55.0 30.9 3
197 18.0 115.0 7
198 50.7 47.4 8
199 123.7 132.1 6
200 86.9 77.3 5
201 46.6 36.4 7
202 34.0 68.2 9
203 135.7 38.1 3
204 4.7 65.9 5
205 29.3 2.2 1
206 122.2 111.3 9
207 146.8 51.9 8
208 41.7 107.3 10
209 105.2 76.1 10
210 34.8 75.4 9
211 81.9 91.6 1
212 78.3 2.0 2
213 51.3 103.1 6
214 5.6 61.9 7
215 27.3 44.4 1
216 140.6 112.9 3
217 3.8 30.8 2
218 120.9 42.9 2
219 68.3 111.7 3
220 90.7 141.2 1
221 68.2 4.7 4
222 149.8 142.3 8
223 137.4 82.7 3
224 16.8 147.2 8
225 51.3 149.9 3
226 2.3 99.0 1
227 94.3 123.9 1
228 111.2 48.0 7
229 95.8 61.3 2
230 70.4 40.0 10
231 35.8 149.6 3
232 116.3 118.2 10
233 20.4 35.6 3
234 23.1 18.6 5
235 130.7 95.5 3
236 131.8 49.8 2
237 86.3 36.4 9
238 137.5 3.4 6
239 110.9 122.5 6
240 134.1 117.1 10
241 89.1 9.4 7
242 112.2 46.7 2
243 31.9 105.9 10
244 63.2 9.6 4
245 52.9 143.9 7
246 16.6 20.5 5
247 124.4 16.1 4
248 67.6 120.5 3
249 43.6 148.9 5
250 92.3 144.5 4
EOF
