# seed = 20260714
# generator_version = 1.0.0
# distribution = mixed (75% clustered + 25% uniform)
# demand = bimodal; capacity_slack = moderate
# Field order follows the current repository reader, not the official PDF order.
NAME : random_mixed_c200_d10_s20260714
CUSTOMERS : 200
DEPOTS : 10
VEHICLE_CAPACITY : 100
ROUTE_FIXED_COST : 80
DISTANCE_FORMAT : COORDS

DEPOT_SECTION
# id opening_cost capacity max_vehicles x y
1 1091 336 5 180.0 220.0
2 1119 347 5 780.0 190.0
3 738 360 5 250.0 760.0
4 816 367 5 760.0 750.0
5 1129 347 5 160.3 585.2
6 1151 347 5 942.1 252.2
7 1182 344 5 378.4 395.5
8 1118 339 5 310.4 522.1
9 766 372 5 132.7 862.8
10 826 375 5 442.1 687.4

CUSTOMER_SECTION
# id demand x y
1001 12 173.0 249.5
1002 6 886.0 0.0
1003 22 244.1 138.2
1004 25 143.5 547.1
1005 19 709.8 134.8
1006 5 244.1 806.9
1007 5 201.3 142.0
1008 22 103.1 197.4
1009 9 659.7 226.0
1010 29 266.5 225.2
1011 10 185.1 445.0
1012 8 708.5 275.8
1013 6 665.7 759.2
1014 19 875.9 793.6
1015 8 184.5 322.9
1016 5 752.6 659.2
1017 20 113.2 732.9
1018 10 173.9 76.3
1019 29 591.0 805.4
1020 7 158.7 306.1
1021 10 769.0 306.7
1022 9 652.2 12.2
1023 29 795.4 241.7
1024 6 919.5 648.8
1025 12 360.7 826.2
1026 11 672.4 695.7
1027 21 308.6 258.8
1028 11 462.7 206.8
1029 9 369.2 173.0
1030 10 439.3 873.3
1031 12 627.5 328.0
1032 7 845.4 110.5
1033 12 93.0 885.1
1034 6 681.5 247.2
1035 6 687.7 828.8
1036 8 766.8 686.8
1037 22 869.3 345.8
1038 30 352.9 738.7
1039 20 703.0 226.8
1040 20 117.8 189.8
1041 5 120.0 122.0
1042 22 394.0 660.9
1043 25 902.4 507.2
1044 20 131.7 706.2
1045 5 934.1 294.7
1046 9 735.2 596.5
1047 25 263.2 673.8
1048 11 270.7 27.6
1049 29 889.3 89.0
1050 8 234.4 214.0
1051 9 139.2 101.4
1052 11 262.9 710.6
1053 24 170.7 333.1
1054 10 52.9 283.0
